Feature,Importance
BMI,0.15419739130370144
Age,0.11974682918471113
Income,0.09949036853538623
PhysHlth,0.07621677267580315
Education,0.07142513482013418
MentHlth,0.058523887713931494
GenHlth,0.05017540703067724
HighBP,0.040426008794121365
Fruits,0.03443861146217205
Smoker,0.0344296796961532
Sex,0.02985200043566144
PhysActivity,0.02900673469208818
HighChol,0.028002553619068945
Veggies,0.02722224449131842
DiffWalk,0.02405577691139203
PoorGenHlth,0.02337510895467943
HeartDiseaseorAttack,0.018357560373131392
Obesity,0.015157120288886243
NoDocbcCost,0.015061014139167047
Stroke,0.012519957438027272
FrequentPhysicalDistress,0.00900765642797855
AnyHealthcare,0.008673193523369134
FrequentMentalDistress,0.008383441687594756
HvyAlcoholConsump,0.00827534963157091
CholCheck,0.003980196169274637
